id,message,updated_time,location,distance (km),price,total comments,link
110354088989367_1642346625790098,"Luxe 1 Lease Takeover - 1 bedroom suite, in 4 bedroom unit
$650 - Waterloo, Ontario

-Ensuite Washroom
-3 cool roommates, 1 rad cat
-Game room, gym, theater, study room
-Electrical + WiFi not included (usually $30) 
-Fully furnished
-Sept-May",2017-09-02T18:26:40+0000,luxe,1.672,$650,27,"<a href=""https://www.facebook.com/groups/110354088989367/permalink/1642346625790098"">link</a>"
110354088989367_1645679462123481,"Fall 2017 Sublet at The Hub - 4 Months - 365-5 Albert Street
$780

PRICE NEGOTIABLE
All Inclusive
Located on Columbia and Albert, 5-10 minute walk to UW, 5-10 minute walk to Laurier
2 bedroom apartment with 2 bathrooms - 1 bedroom with ensuite bathroom available

Amenities:
- amphitheatre 
- lobby
- game rooms
- gym 
- commercial vendors (promenade) 
- rooftop lounges
- on-site card laundry
- 24 hour security",2017-09-04T17:38:04+0000,5 albert street,1.417,$780,27,"<a href=""https://www.facebook.com/groups/110354088989367/permalink/1645679462123481"">link</a>"
110354088989367_1583259635032131,"2/3 ROOMS AVAILABLE AT 275 LESTER ST
$425 - Waterloo, Ontario

Three spacious, furnished rooms available for 1 year lease (2017-2018)
Utilities and maintenance included
4 mins away from UW by buses 8,7, 31, 9, 92 
10-12 min walk from UW and Laurier
Room prices range between $425, $450 and $500 depending on size.
Please message for further details
One year lease only !!",2017-08-02T05:56:21+0000,275 lester st,0.713,$425,24,"<a href=""https://www.facebook.com/groups/110354088989367/permalink/1583259635032131"">link</a>"
142679255268_10155368575460269,"Fall 2017 Sublet at The Hub - 4 Months - 365-5 Albert Street
$780

PRICE NEGOTIABLE
All Inclusive
Located on Columbia and Albert, 5-10 minute walk to UW, 5-10 minute walk to Laurier
2 bedroom apartment with 2 bathrooms - 1 bedroom with ensuite bathroom available

Amenities:
- amphitheatre 
- lobby
- game rooms
- gym 
- commercial vendors (promenade) 
- rooftop lounges
- on-site card laundry
- 24 hour security",2017-09-04T17:36:12+0000,5 albert street,1.417,$780,23,"<a href=""https://www.facebook.com/groups/142679255268/permalink/10155368575460269"">link</a>"
110354088989367_1637490286275732,"8 month sublet or 12 month lease takeover
$565 - Waterloo, Ontario

One room available for sublet/lease takeover at 61 Columbia street west (right at the intersection of Columbia and hazel) starting fall 2017!! 

- all utilities included 
- 5 min walk to Laurier
- 9 and 7 bus routes go past the building that could take you to both WLU and UW, also have access to 201 (to Conestoga) and 31 

Message me for any further details",2017-08-31T23:28:06+0000,61 columbia street west,1.36,$565,23,"<a href=""https://www.facebook.com/groups/110354088989367/permalink/1637490286275732"">link</a>"
110354088989367_1646343242057103,"Subletting Sept-May: The Marq 173 King Street 
$577 - Kitchener, Ontario

I'm subletting my room at 173 King Street 
September-May lease

The unit includes 4 bedrooms all together, 2 bathrooms, washer, dryer, dishwasher

The room is furnished but you have the choice to bring your own furniture 

3 minute walk to Laurier Campus 
15 minute walk to UW

Please message if you're interested!!
Thank you",2017-09-02T21:20:14+0000,173 king street,1.368,$577,23,"<a href=""https://www.facebook.com/groups/110354088989367/permalink/1646343242057103"">link</a>"
110354088989367_1577750495583045,"70 Marshall ensuite 8 MONTHS LEASE!
$630 - Waterloo, Ontario

With a location close to Wilfrid Laurier University and in the Uptown Waterloo district this building is perfect for students! You will be close to class, restaurants, transit, and nightlife!

The units are fully furnished and the monthly rental rate starting at $610 includes water,gas, internet, air conditioning and in suite laundry. This is definitely a turn-key move in!

Spacious kitchen (includes a dishwasher) and common space allows for comfortable, easy living with roommates.

Wheel chair accessible unit is available!

12 Months lease From Sep-Sep: $610 per month
-200 Cash back
-1 Month free rent if tenants sign as a group of five

8 Months lease from Sep-April:Individual $630 per month
Group of 5: $620 per month",2017-08-17T12:45:43+0000,70 marshall,1.756,$630,23,"<a href=""https://www.facebook.com/groups/110354088989367/permalink/1577750495583045"">link</a>"
142679255268_10155253431545269,"Rooms For Rent
$300 - Richmond Hill, Ontario

ROOMS AVAILABLE FOR END OF SUMMER (JULY + AUGUST). 
Rooms for rent in a beautiful town house at Weber and University!
All inclusive (Water, hydro, Gas), rooms come furnished as well!!
The main floor has 2 separate bedrooms that are spacious, and each has a big window, one looking to the backyard and the other looking to the front yard. In addition, there is a 2 pc bathroom on main floor as well as full 3 pc bathroom in the basement. Both are for the use by the 2 bedrooms on the main floor. Basement will not be rented and can be used by all!
Transportation wise, the house is on Weber and University and has bus routes that takes you in approx. 10 minutes into UW main campus as well as the back of the campus (Near the optometry building and UW back entrance). Laurier is a less than a 10 minute walk from the house. This is open to both genders. If you are interested please inbox me.",2017-08-04T11:31:00+0000, weber,2.374,$300,23,"<a href=""https://www.facebook.com/groups/142679255268/permalink/10155253431545269"">link</a>"
142679255268_10155184501535269,"Fall Sublet/ Lease
$500 - City of Waterloo

Sublet for Fall / Lease
156 Westcourt Place. 
A well developed place; will easily get a Sublet in any term if you take a lease. It's 3 min walk to UW. Right on the intersection of Westmount & University Ave. Price negotiable. 
Ps. Ignore the current situation of the rooms😅",2017-07-11T10:04:15+0000,156 westcourt place,0.826,$500,21,"<a href=""https://www.facebook.com/groups/142679255268/permalink/10155184501535269"">link</a>"
110354088989367_1629782257046535,"1 Room For Rent
$495 - Waterloo, Ontario

Hey guys! 
My friend vic, @ [100003673320680:Elena Mariani] and I are looking for another roomie! 
-495/month + utilities 
- 8 month lease
-3 minute walk to laurier 
-3 awesome roomies that can cook! 
msg me if youre intrested and want more info!",2017-08-07T21:02:08+0000, laurier,1.217,$495,21,"<a href=""https://www.facebook.com/groups/110354088989367/permalink/1629782257046535"">link</a>"
110354088989367_1638971026127658,"5 Rooms available at 267 Lester st 3 at 275 Lester st
$375 - Waterloo, Ontario

10 minute walk from UW campus
1 year lease only
Utilities and furniture are included in the price
Shovelling and mowing is also included
Parking is available
Basement - 375-400
Uptstairs- 475-525",2017-08-28T18:01:47+0000,267 lester st,0.689,$375,21,"<a href=""https://www.facebook.com/groups/110354088989367/permalink/1638971026127658"">link</a>"
110354088989367_1621878991170195,"furnished room ideal for coop students. available september to december
$700 - Union Station

Luxury room for coop students at the heart of downtown toronto.

5 minutes walk to union station.

Twin or triple rooms available September 1st. Triple room is $700/month/person, twin room is $890/month/person. 
\All rooms are fully furnished, in luxury condos, with amazing amenities, pool, sauna, gym and so on.

Price includes everything, utilities, unlimited internet etc.

kitchen is fully equipped with all kitchenware, living room has 60 inches smart tv and apple tv. 

best option for your coop at an affordable price in a luxury condo.",2017-07-26T03:46:30+0000,,,$700,20,"<a href=""https://www.facebook.com/groups/110354088989367/permalink/1621878991170195"">link</a>"
110354088989367_1615067385184689,"I HAVE A HOUSE NOW
FREE

I need a place to stay Fall + Winter, all my friends are off stream so I'm all alone, with nowhere to live, and places are scarce for 1 washed up (but v clean) Waterloo student that spends 20 hours a day in Engineering 5.

Please pick me, I even attached my tinder profile so you know the kind of shitty humor(and lack of sleep) you'll have to deal with.

Msg me pls, I don't want to be homeless.",2017-08-14T09:30:07+0000,,,,19,"<a href=""https://www.facebook.com/groups/110354088989367/permalink/1615067385184689"">link</a>"
142679255268_10155176027150269,"Room and/or house for rent
$450 - Waterloo, Ontario

4 bedroom, 2 full bathrooms, newly renovated carpet free, kitchen, available for rent from June 1

Location: 
-close to WLU and UW
-2 km away from WLU & UW
-onbus route number 9, 13, 202
- 1 min walk Tim Hortons, Pizza Pizza, Beer Store and more

rent: 
$1600 + electricity or single room from $450 to $550 + shared electricity bill

rent includes: finished room with bed, study table, mirror, closet, shared internet, fully equipped  & shared kitchen (fridge, stove, washer), in-house laundry, Wi-Fi

Please contact by email: rajneesh24@hotmail.com",2017-06-27T03:17:24+0000,,,$450,18,"<a href=""https://www.facebook.com/groups/142679255268/permalink/10155176027150269"">link</a>"
110354088989367_1624343757590385,"Central Waterloo area  K2 Condo (158 King Street) 8 month lease 
$750 - Waterloo, Ontario

With a location close to Wilfrid Laurier University and in the Uptown Waterloo district this building is perfect for students and young professional. You will be close to class, restaurants, transit, and nightlife!
The units are fully furnished and the monthly rental rate starting at $750 includes water,gas, internet, air conditioning and in suite laundry. This is definitely a turn-key move in!

Spacious kitchen (includes a dishwasher) and common space allows for comfortable,

12 Months lease From Sep-Sep: $1620 per month (Full 2 Bedroom unit)
-800 Cash back
8 Months lease from Sep-April:Individual $750 per month(3 Bedroom unit)",2017-08-09T15:21:33+0000,158 king street,1.421,$750,18,"<a href=""https://www.facebook.com/groups/110354088989367/permalink/1624343757590385"">link</a>"
110354088989367_1642456599112434,"Furnished rooms in Waterloo
$300 - Waterloo, Ontario

Furnished rooms for rent $300- $500
Glenelm Crescent
Very close to bus # 9, 79 and 200 (IX).
Licensed home for students. 3 bedrooms upstairs , and 2 in basement (furnished),
3 bathrooms.

Shared kitchen and spacious living room
No pets, No smoking
12 month and 8 month lease, sublet allowed within conditions of lease
Parking: 2 spots
Laundry on site

Rent depending on the room size: CAD 300, 400, 450, 500
Steps from Community Center (ice rink) and library, close to Conestoga Mall
NOTE: Most of the furniture will be replaced with new ones by the end of August.",2017-08-29T23:55:30+0000,"500
glenelm crescent",2.469,$300,17,"<a href=""https://www.facebook.com/groups/110354088989367/permalink/1642456599112434"">link</a>"
110354088989367_1616328285058599,"LARGE MASTER BEDROOM AVAILABLE- $550 per Month
- Ensuite Washroom and walk-in closet
- 5 minute bus ride to Laurier Campus, 
- 10 minute bus ride to Waterloo Campus
- 5 minute walk from Wal Mart
PLEASE MESSAGE FOR DETAILS!",2017-07-26T00:59:13+0000, laurier,1.217,$550,17,"<a href=""https://www.facebook.com/groups/110354088989367/permalink/1616328285058599"">link</a>"
110354088989367_1661777173847043,"Sage V condo - 2nd Floor Bedroom with Balcony
FREE - Railway Lands

Address: 280 Lester Street, Waterloo, ON 

1 bedroom available (4-8-12 month lease options)
includes:
- built-in closet
- double bed
- desk and chair
- utilities
- bathroom
- spacious balcony

Price is negotiable",2017-09-08T19:31:47+0000,280 lester street,0.772,,17,"<a href=""https://www.facebook.com/groups/110354088989367/permalink/1661777173847043"">link</a>"
110354088989367_1660024057355688,"2 ROOMS AVAILABLE! 
FREE - Wilfrid Laurier University

173 King St.N (MARQ building) 

- 1 minute walk to Laurier Campus 
- In front of building - Bus 7 at the corner of King & Ezra
- Local shopping in uptown Waterloo
- Furnished bedrooms- bed, desk chair and desk.
- Two bathrooms (one with bathtub,one with shower)
- Kitchen comes with fridge,microwave,oven, lots of cupboard space
- Spacious living room with a couch set, coffee table, a dining table with 4 chairs and a shelf. 
- Two storage closets
- Air conditioned
- Onsite laundry room.

- FREE WIFI

Message for details.",2017-09-03T16:25:53+0000, laurier,1.217,,16,"<a href=""https://www.facebook.com/groups/110354088989367/permalink/1660024057355688"">link</a>"
110354088989367_1609567615734666,"FOR COOP STUDENTS IN TORONTO FOR FALL 2017 - 241 Combe Ave
$695 - North York, ON

UPDATE: ALL FULL

2 rooms available for rent starting for Fall Term 2017

- Internet, Hydro, Laundry all inclusive!
- An 800 m walk from Sheppard West (formerly Downsview) subway station and house located right next to 3 TTC bus stops
- Parking spots available
- Fully furnished with a shared kitchen and fridge
- Large space and very clean! 

PM if interested ! :)",2017-08-21T00:25:33+0000, north,1.771,$695,15,"<a href=""https://www.facebook.com/groups/110354088989367/permalink/1609567615734666"">link</a>"
142679255268_10155296129155269,"Winter 2018 Sublet at 197 Albert St
FREE - Waterloo, Ontario

- 1 HUGE room available in a 5 bedroom apartment
- ensuite (private) bathroom 
- you get your own office 
- RIGHT across the street from the WLU library & Schlegal building (literally 30 seconds)
- laundry & movie room in building
- utilities included (except hydro)
- furnished
- parking available if necessary (extra)

Virtual Tour (style 02): 
https://my.matterport.com/show/?m=Rh9aaLSDozH&utm_source=4",2017-07-30T02:13:27+0000,197 albert st,0.85,,15,"<a href=""https://www.facebook.com/groups/142679255268/permalink/10155296129155269"">link</a>"
142679255268_10155282380085269,"Albert st Lease 
$500 - Waterloo, Ontario

Great big house, Big room, Big driveway for you and your mans or your gals. Message me for more details!",2017-07-26T16:50:26+0000,albert st,1.004,$500,15,"<a href=""https://www.facebook.com/groups/142679255268/permalink/10155282380085269"">link</a>"
142679255268_10155285983720269,"* Rooms in a very large house.
* 4 month lease starting SEP
* Near Westmount & Union
* Close to UW (only 6 minute on the bus).
* Bus runs every 6-7 minutes during busy times!
-------------------
Price: 600-750$.
-------------------
* Features: All inclusive (Utility+Internet), Complimentary Furnished, AC, Washer Dryer.",2017-07-22T18:18:14+0000, westmount,2.536,,14,"<a href=""https://www.facebook.com/groups/142679255268/permalink/10155285983720269"">link</a>"
110354088989367_1605652906126137,"Preston House $480 Cash Back
$660 - Waterloo, Ontario

$480 Cash Back
Utilities is included: hydro,water, AC / Heating, high speed Wi-Fi 
5 bedrooms suite, each bedroom comes with its own full bathroom
Rooms and kitchen are fully furnished
One minute away from bus stop,plaza. 5 minutes walk to WLU, 5 minutes bus to UW
Free GYM, Pool table in the building
1-year lease only

Preston house (315 King st.)$675+40(utilities)
Bridgeport House (328 Regina st.)$660 +40(utilities)
Both building have $480 cash back, so basically, you don't need to pay any utilities.

WeChat ID: UW6543",2017-08-15T19:29:07+0000, high,1.634,$660,14,"<a href=""https://www.facebook.com/groups/110354088989367/permalink/1605652906126137"">link</a>"
110354088989367_1649073318450762,"LAST BEDROOMS AVAILABLE IN 251 LESTER STREET
$563 - Waterloo, Ontario

TWO FULL MONTHS OFF! LAST FEW BEDROOMS!

Want to live somewhere close to the universities? I've got a spot for you!

• Short walk to WLU and UW Campuses
• High-end fixtures and finishes
• Large bedrooms
• Two bathrooms per suite
• Smart card operated on-site laundry
• On-site management
• Night time security
• On-site tenant parking
• Professional landscaping & snow removal
• Daily cleaning of all public areas
• 24/7 on-call emergency maintenance services
• Prime location — making subletting easy
• Convenient access to bus routes & future LRT
• Location just steps away from many amenities

• FREE Bike storage
• FREE Unlimited high speed internet
• Furniture
• Dishwasher

Please contact me ASAP for the best locations.",2017-08-24T01:42:55+0000,251 lester street,0.647,$563,14,"<a href=""https://www.facebook.com/groups/110354088989367/permalink/1649073318450762"">link</a>"
110354088989367_1632586773432750,"Subletting Single Bedroom Starting Sep 2017/ 8 months
$600 - Dixie, Mississauga

8 months/ Subletting one bedroom in a two male bedroom condo suite. Walkable distance to both the University of Waterloo and University of Laurier. Message me for more info.

Preferably looking for someone first year

TheHub by accomod8u.",2017-08-19T01:23:56+0000, dixie,2.447,$600,13,"<a href=""https://www.facebook.com/groups/110354088989367/permalink/1632586773432750"">link</a>"
110354088989367_1639806156044145,"ICON Fall Sublet
$790 - ICON WATERLOO

I have a Fall sublet available in a Bond suite for the Fall term (TV room). Female preferred and you must like cats!

Message me for more details 😊",2017-08-11T18:32:35+0000,icon,0.761,$790,13,"<a href=""https://www.facebook.com/groups/110354088989367/permalink/1639806156044145"">link</a>"
142679255268_10155019908465269,"2 Bedroom Apartment 
$700 - Mississauga, Ontario

275 Larch Street (Directly behind new Lazaridis Building)
700$ per room 
- 2 bedrooms and 2 washrooms available in a 2 bedroom apartment
- 1 minute walk to WLU campus 
- 7 minute walk to Waterloo campus
- WIFI & Hydro INCLUDED
- Fully Furnished (Flat screen TV as well) 
- Brand new building (1st Year)
- Laundry Room, Study Room, and Gym in building
Message me for further details",2017-08-03T20:46:04+0000,275 larch street,1.104,$700,12,"<a href=""https://www.facebook.com/groups/142679255268/permalink/10155019908465269"">link</a>"
110354088989367_1290654514292646,"21 Bricker - Across form Laurier
$565 - Waterloo, Ontario

21 Bricker Avenue - Fully Furnished

Your September rent will be prorated. 

Includes: gas, water, in suite laundry

With a prime location across the street from the Bricker Academic building, 

21 Bricker Avenue is one of our most popular buildings for Laurier students!

Units are available in four and five bedroom layouts with two full bathrooms and in-suite laundry.

Tenants will love the open-concept tiled kitchen with plenty of cabinet space and double fridges.

A perfect choice for students who want to be close to shops, restaurants, and nightlife in Uptown Waterloo.",2017-07-24T15:51:47+0000,21 bricker,1.271,$565,12,"<a href=""https://www.facebook.com/groups/110354088989367/permalink/1290654514292646"">link</a>"
142679255268_10155241238455269,"LUXE PHASE 2 - 1 year LEASE Sept 2017-2018
$615 - Waterloo, Ontario

Looking for a 3/5 female roommates for September 2017-September 2018!!

- 3 Rooms available
- Unit is fully furnished with 5 ensuite bathrooms 
- Flat screen tv in living area 
- Laundry facilities 
- 8-10 minute walk to WLU campus, ~20 min walk to UWaterloo
- Rooftop Gym
- Access to Luxe 1 and 2: study lounges, movie theatres, game rooms, etc.

Feel free to message and ask any questions!",2017-07-20T20:55:59+0000,luxe,1.672,$615,11,"<a href=""https://www.facebook.com/groups/142679255268/permalink/10155241238455269"">link</a>"
142679255268_10155413542170269,"Sage V Condo - 2nd Floor Bedroom with Balcony
FREE

Address: 280 Lester Street, Waterloo, ON 

1 bedroom available (4-8-12 month lease options)
includes:
- built-in closet
- double bed
- desk and chair
- utilities
- bathroom
- spacious balcony

Price is negotiable",2017-09-08T17:29:13+0000,280 lester street,0.772,,11,"<a href=""https://www.facebook.com/groups/142679255268/permalink/10155413542170269"">link</a>"
142679255268_10155326581120269,"8 /12 MONTH SUBLET SEPT 2017- AUGUST 2018
$450 - Waterloo, Ontario

Looking to sublet a room at 145A Weber Street North to a female only. Utilities included. Laundry and parking available. Message for more details and pictures.",2017-08-13T16:29:12+0000, weber street north,2.374,$450,11,"<a href=""https://www.facebook.com/groups/142679255268/permalink/10155326581120269"">link</a>"
110354088989367_1642345052456922,"Sage 6- Lease takeover (Sept 2017-Sept 2018)
$750 - Waterloo, Ontario

*Lease take over starting Sept 1 2017*
Sage 6- 251 Hemlock, Waterloo (steps from U Waterloo and Laurier)
2 bedroom condo, ONE room available (each room has own bathroom)
- includes the following: 
50"" flat screen TV
stainless steel appliances
granite counters
fiber-optic Internet with UNLIMITED bandwidth
in-suite laundry in every unit
onsite fitness facility
social lounge with smart TV + couches + meeting tables
parking (available upon application)
spacious balconies
★ Furnished: Double Bed + Desk + Chair + Armchair
★ Includes Gas + Water + Internet
★ Free Laundry (in each suite)",2017-08-16T15:25:26+0000,251 hemlock,0.962,$750,11,"<a href=""https://www.facebook.com/groups/110354088989367/permalink/1642345052456922"">link</a>"
110354088989367_1599418353416259,"Close to University of Waterloo! Student Rooms for Rent!
$525 - Waterloo, Ontario

308 TollGate Blvd.  Licensed 5 bedroom, 2 bath home in quiet residential neighbourhood, just a few minutes walk to University of Waterloo. Close to University of Waterloo soccer fields. 
Rent is $525.00 pp/month. including utilities. 
Parking for 2 cars. Laundry onsite. Bus #9 and expess bus.  Ideal for groups of 2, 3, or 5 students. Singles welcome. 
To view: carolhammer8@gmail.com",2017-09-06T19:29:04+0000,308 tollgate,2.26,$525,11,"<a href=""https://www.facebook.com/groups/110354088989367/permalink/1599418353416259"">link</a>"
110354088989367_1648438715180889,"NEED 1 MORE ROOMATE
$512

Hey guys,
me and my 2 other cousins Yousuf Raza and Wajahat Raza are looking for a 4th roommate.
-512.5/month + hydro + internet 
-3 min walk to laurier
4 rooms, 2 bathrooms
msg me if ur interested and want more info!",2017-08-24T18:59:24+0000, laurier,1.217,$512,11,"<a href=""https://www.facebook.com/groups/110354088989367/permalink/1648438715180889"">link</a>"
142679255268_10155165733270269,"July/August sublet
$300 - Kitchener, Ontario

Looking to live somewhere July/August, message me your offers if you're still interested in finding a subletter!",2017-06-24T00:34:17+0000,sage,1.153,$300,10,"<a href=""https://www.facebook.com/groups/142679255268/permalink/10155165733270269"">link</a>"
